Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2005-2006,2006,IND,2786.0,6274.0,536.0,1536.0,2250.0,4738.0,1591.0,2158.0,898.0,2559.0,3457.0,1631.0,598.0,409.0,1204.0,1821.0,7699.0,0.0,0.4440548294548932,0.3489583333333333,0.4748839172646686,0.73725671918443,0.48677080012751034,41.0,41.0
2005-2006,2006,LAC,2993.0,6443.0,290.0,843.0,2703.0,5600.0,1694.0,2142.0,828.0,2704.0,3532.0,1708.0,534.0,503.0,1130.0,1872.0,7970.0,0.0,0.4645351544311656,0.34400948991696323,0.4826785714285714,0.7908496732026143,0.4870401986652181,47.0,35.0
2005-2006,2006,LAL,2992.0,6607.0,552.0,1583.0,2440.0,5024.0,1618.0,2172.0,970.0,2488.0,3458.0,1734.0,628.0,350.0,1097.0,1894.0,8154.0,2.0,0.4528530346602089,0.3487049905243209,0.4856687898089172,0.7449355432780848,0.4946269108521265,45.0,37.0
2005-2006,2006,MEM,2746.0,6125.0,590.0,1578.0,2156.0,4547.0,1476.0,2077.0,834.0,2379.0,3213.0,1586.0,600.0,442.0,1056.0,1757.0,7558.0,2.0,0.4483265306122449,0.37389100126742714,0.4741587860127557,0.7106403466538276,0.49648979591836734,49.0,33.0
2005-2006,2006,MIA,3039.0,6355.0,497.0,1441.0,2542.0,4914.0,1616.0,2310.0,858.0,2675.0,3533.0,1692.0,522.0,442.0,1139.0,1871.0,8191.0,3.0,0.4782061369000787,0.34489937543372656,0.5172975172975173,0.6995670995670996,0.517309205350118,52.0,30.0
2005-2006,2006,MIL,2976.0,6566.0,507.0,1335.0,2469.0,5231.0,1561.0,2115.0,929.0,2448.0,3377.0,1769.0,597.0,270.0,1151.0,1902.0,8020.0,1.0,0.4532439841608285,0.3797752808988764,0.4719938826228255,0.7380614657210401,0.4918519646664636,40.0,42.0
2005-2006,2006,MIN,2888.0,6340.0,310.0,942.0,2578.0,5398.0,1436.0,1895.0,811.0,2422.0,3233.0,1716.0,559.0,471.0,1126.0,1889.0,7522.0,0.0,0.4555205047318612,0.32908704883227174,0.4775842904779548,0.7577836411609499,0.47996845425867507,33.0,49.0
2005-2006,2006,NJN,2778.0,6317.0,477.0,1447.0,2301.0,4870.0,1658.0,2187.0,822.0,2539.0,3361.0,1884.0,558.0,278.0,1065.0,1903.0,7691.0,9.0,0.4397657115719487,0.32964754664823775,0.4724845995893224,0.7581161408321903,0.47752097514643027,49.0,33.0
2005-2006,2006,NOK,2831.0,6428.0,300.0,885.0,2531.0,5543.0,1649.0,2176.0,918.0,2379.0,3297.0,1519.0,611.0,311.0,1026.0,1786.0,7611.0,2.0,0.44041692594897325,0.3389830508474576,0.45661194299116004,0.7578125,0.4637523335407592,38.0,44.0
2005-2006,2006,NYK,2822.0,6206.0,320.0,884.0,2502.0,5322.0,1878.0,2587.0,1034.0,2360.0,3394.0,1468.0,555.0,271.0,1397.0,2157.0,7842.0,0.0,0.4547212375120851,0.36199095022624433,0.4701240135287486,0.7259373792037108,0.48050273928456333,23.0,59.0
2005-2006,2006,ORL,2911.0,6167.0,299.0,796.0,2612.0,5371.0,1663.0,2277.0,892.0,2402.0,3294.0,1495.0,532.0,362.0,1183.0,1908.0,7784.0,1.0,0.472028538997892,0.3756281407035176,0.4863153975051201,0.730346947738252,0.4962704718663856,36.0,46.0
2005-2006,2006,PHI,3001.0,6546.0,375.0,1031.0,2626.0,5515.0,1770.0,2330.0,873.0,2425.0,3298.0,1653.0,651.0,404.0,1112.0,1712.0,8147.0,0.0,0.4584479071188512,0.36372453928225024,0.4761559383499547,0.759656652360515,0.48709135349831956,38.0,44.0
2005-2006,2006,PHO,3430.0,7167.0,837.0,2097.0,2593.0,5070.0,1189.0,1475.0,778.0,2650.0,3428.0,2179.0,549.0,412.0,1048.0,1683.0,8886.0,5.0,0.47858239151667364,0.39914163090128757,0.511439842209073,0.8061016949152542,0.5369750244174689,54.0,28.0
2005-2006,2006,POR,2791.0,6267.0,364.0,1042.0,2427.0,5225.0,1339.0,1944.0,886.0,2203.0,3089.0,1490.0,529.0,435.0,1123.0,1828.0,7285.0,0.0,0.4453486516674645,0.3493282149712092,0.4644976076555024,0.6887860082304527,0.4743896601244615,21.0,61.0
2005-2006,2006,SAC,2954.0,6500.0,494.0,1408.0,2460.0,5092.0,1704.0,2173.0,852.0,2473.0,3325.0,1825.0,608.0,299.0,1146.0,1672.0,8106.0,1.0,0.4544615384615385,0.3508522727272727,0.4831107619795758,0.7841693511274735,0.49246153846153845,44.0,38.0
2005-2006,2006,SAS,2993.0,6342.0,524.0,1362.0,2469.0,4980.0,1327.0,1891.0,851.0,2548.0,3399.0,1717.0,543.0,467.0,1087.0,1714.0,7837.0,0.0,0.47193314411857457,0.38472834067547723,0.49578313253012046,0.7017451084082496,0.5132450331125827,63.0,19.0
2005-2006,2006,SEA,3077.0,6711.0,605.0,1631.0,2472.0,5080.0,1652.0,2104.0,1013.0,2233.0,3246.0,1696.0,622.0,306.0,1150.0,1933.0,8411.0,0.0,0.4585009685590821,0.37093807480073576,0.48661417322834644,0.785171102661597,0.5035762181493071,35.0,47.0
2005-2006,2006,TOR,3013.0,6639.0,608.0,1620.0,2405.0,5019.0,1653.0,2089.0,864.0,2291.0,3155.0,1593.0,529.0,272.0,1023.0,1965.0,8287.0,0.0,0.4538334086458804,0.37530864197530867,0.4791791193464834,0.791287697462901,0.4996234372646483,27.0,55.0
2005-2006,2006,UTA,2744.0,6207.0,311.0,925.0,2433.0,5282.0,1774.0,2466.0,1071.0,2380.0,3451.0,1772.0,524.0,492.0,1211.0,2032.0,7573.0,2.0,0.4420815208635412,0.3362162162162162,0.4606209769026884,0.7193836171938361,0.4671338811019816,41.0,41.0
2005-2006,2006,WAS,2975.0,6656.0,497.0,1394.0,2478.0,5262.0,1889.0,2496.0,1035.0,2344.0,3379.0,1523.0,658.0,339.0,1100.0,1855.0,8336.0,0.0,0.4469651442307692,0.3565279770444763,0.4709236031927024,0.7568108974358975,0.4842998798076923,42.0,40.0
